,Player,Pos,Team,Gp,Mpg,Orpm,Drpm,Rpm,Wins,UUID,adjusted_wins
283,Wesley Matthews,SG,LAL,58,19.5,-1.12,-0.12,-1.24,0.89,30477cdf-6bc5-4ae9-b2e2-ba0247ebf395,4.23
284,JaMychal Green,F,DEN,58,19.3,-0.04,-1.23,-1.27,0.85,8a00f11f-5cc1-4b94-9fb0-455aff4bd534,4.1899999999999995
285,Louis King,SF,SAC,6,14.2,-0.03,-1.24,-1.27,0.04,59489c2a-2091-4527-ad0f-f824d7463419,3.38
287,Moritz Wagner,C,WSH/BOS/ORL,45,16.0,-0.72,-0.56,-1.28,0.47,0ec5a43a-77c5-4175-914a-beef903e80d5,3.8099999999999996
288,Denzel Valentine,G,CHI,62,16.7,0.63,-1.92,-1.28,0.87,1fba3450-c708-44cc-b40f-4d2f99853305,4.21
290,Dakota Mathias,G,PHI,8,15.4,-0.12,-1.16,-1.28,0.09,7319a367-28fc-4b55-9642-c06847be3b30,3.4299999999999997
291,Boban Marjanovic,C,DAL,33,8.2,-0.36,-0.95,-1.30,0.20,1f457d2a-ac8a-41a2-9fdd-cc1f34c4b3c5,3.54
292,Deni Avdija,SF,WSH,54,23.3,-1.39,0.07,-1.32,0.87,2f0516ea-bbf0-4454-92da-9fa626f9ac33,4.21
293,Chuma Okeke,PF,ORL,45,25.2,-1.06,-0.26,-1.32,0.79,71e8a555-347a-46df-93a1-95ff7a913bee,4.13
294,Dario Saric,PF,PHX,50,17.4,0.45,-1.77,-1.32,0.65,fef2050f-68d1-4029-8173-d297e815fece,3.9899999999999998
295,Jake Layman,F,MIN,45,13.9,-0.41,-0.92,-1.32,0.44,03e2fd9d-c76c-409e-a9a3-7e71c38fd3e1,3.78
296,John Konchar,SG,MEM,43,13.4,0.04,-1.37,-1.34,0.42,ec682b2e-e699-4178-a27d-3d7c521b500e,3.76
297,Garrison Mathews,SG,WSH,64,16.2,0.05,-1.39,-1.34,0.70,c233d69b-17d6-44b5-8021-50a90e449e3e,4.04
298,Amir Coffey,SG,LAC,44,9.0,-0.59,-0.76,-1.35,0.27,7e545d9b-7a5c-4a63-902c-36aa1d699bc7,3.61
299,Payton Pritchard,PG,BOS,66,19.2,0.97,-2.33,-1.36,0.92,69f4b93e-0f1a-4df9-85ff-995f1fa5a5b9,4.26
300,Bol Bol,C,DEN,32,5.0,-0.45,-0.91,-1.36,0.11,587e8d04-6148-4c7e-9c23-6c8550034fea,3.4499999999999997
301,Cedi Osman,SF,CLE,59,25.6,0.05,-1.42,-1.36,0.94,daa099ae-7208-4e0a-8402-d5627d30a798,4.279999999999999
302,Xavier Tillman,F,MEM,59,18.4,-0.36,-1.01,-1.38,0.73,85a06c99-6f9f-4de2-a7fb-30113e4fbf74,4.07
303,Andre Drummond,C,CLE/LAL,46,27.0,-1.52,0.14,-1.38,0.67,1e0d924a-63aa-43fe-8912-7708757d7242,4.01
304,Dwight Powell,C,DAL,58,16.7,-1.01,-0.38,-1.38,0.57,ba6dd21f-a5ba-44e7-838e-ab37967bffb9,3.9099999999999997
305,Paul Reed,SF,PHI,26,6.8,-0.40,-1.01,-1.41,0.11,40d70e28-8145-4138-995b-214ad15cbea3,3.4499999999999997
306,Anthony Gill,PF,WSH,26,8.4,-0.23,-1.20,-1.42,0.13,33b263a2-839c-4aaf-b3b2-f3b235636f7d,3.4699999999999998
307,Gary Harris,SG,DEN/ORL,39,27.7,-2.57,1.14,-1.43,0.51,dba1b189-705e-4c80-9a44-d2e7249aac69,3.8499999999999996
308,Taurean Prince,PF,BKN/CLE,41,22.1,0.59,-2.02,-1.43,0.56,dc569363-2ac7-413a-824c-aae1e1e0f586,3.9
