,Player,Salary,Year,Perc,Perc_score,Abb,UUID
15,Amir Johnson,398762.0,2005,0.006688474490842098,0.669,DET,3500f176-761e-4899-81c8-74c54d2e1ffd
0,Carlos Boozer,11593816.0,2005,0.20207825638661261,40.836,UTA,3bf7f1dc-c213-4da8-9385-3e65646f4279
1,Andrei Kirilenko,10983000.0,2005,0.19143183658375865,36.646,UTA,264998a4-bb1c-44d5-8a17-d5e33001ccbe
2,Mehmet Okur,8250000.0,2005,0.14379610778621588,20.677,UTA,f4ed9663-56e3-414e-8d02-4dd06ef9e003
3,Matt Harpring,5020000.0,2005,0.0874977528590065,7.656,UTA,e5362985-8770-4a99-a9f0-fdea32cc2532
4,Greg Ostertag,4400000.0,2005,0.0766912574859818,5.882,UTA,b4ebff32-aa01-4ef7-b42e-f22a8d53092c
5,Gordan Giricek,4000000.0,2005,0.06971932498725618,4.861,UTA,2d21a134-1850-4f73-be8e-ffb9ff0da023
6,Deron Williams,3487400.0,2005,0.0607847934901393,3.695,UTA,31e6add0-2087-4795-ae66-a42dfc9c162c
7,Devin Brown,2500000.0,2005,0.04357457811703511,4.357,UTA,a324c452-f65d-434e-8edc-8dff071b949c
8,Jarron Collins,1700000.0,2005,0.029630713119583877,2.963,UTA,e573a98a-936f-440f-8a70-25296c820f6c
9,Kris Humphries,1592400.0,2005,0.027755263277426685,2.776,UTA,6226c0c6-1d82-412f-aa45-1ffbb1e63bdc
10,Milt Palacio,1400000.0,2005,0.02440176374553966,2.44,UTA,d776026f-ba41-4696-8bf9-b0f4f77938a2
11,Keith McLeod,1250000.0,2005,0.021787289058517557,2.179,UTA,87cd5b04-e080-4c6d-a9fc-16a50eedc7f1
12,CJ Miles,398762.0,2005,0.006950354367642062,0.695,UTA,2c904234-a3e3-454f-9246-23ca2b92628b
13,Robert Whaley,398762.0,2005,0.006950354367642062,0.695,UTA,b4fb368b-580c-4194-8a0e-706516472be4
14,Andre Owens,398762.0,2005,0.006950354367642062,0.695,UTA,34d58845-2ae5-4cb0-b1f5-59d9b499775b
0,Tim Thomas,13975000.0,2005,0.24446122582567106,59.761,CHI,0d98d7f9-52ac-4744-93e4-220c3fe58e4b
1,Tyson Chandler,9000000.0,2005,0.15743477870705114,24.786,CHI,8c507a1f-0040-43af-a02c-2e453b5ecb1c
2,Eddie Robinson,5444444.0,2005,0.09523831514699248,9.07,CHI,6b688719-74f9-4a9f-8235-f6601673da13
3,Ben Gordon,3610200.0,2005,0.06315233756535511,3.988,CHI,053dc52a-8fda-4b6f-80dd-afd735cbf3e1
4,Othella Harrington,3500000.0,2005,0.06122463616385322,3.748,CHI,dca1bc79-188a-4b14-b4bb-15cf32fd02c3
5,Eric Piatkowski,3000000.0,2005,0.05247825956901705,2.754,CHI,8a80c9b6-0f24-4c76-a638-52a06882972c
6,Chris Duhon,2800000.0,2005,0.048979708931082576,4.898,CHI,4dd1d9bd-a739-40d3-b56a-36a783148a7a
7,Andres Nocioni,2775000.0,2005,0.04854239010134077,4.854,CHI,bd016935-3717-4970-88d8-12cc8173ea37
8,Kirk Hinrich,2513880.0,2005,0.04397468238845352,4.397,CHI,6c87dbac-24b9-4717-9a1c-3492a6449c3b
9,Luol Deng,2443920.0,2005,0.042750889375304045,4.275,CHI,6f179d17-b99b-42d2-a886-2494fe933860
10,Darius Songaila,2200000.0,2005,0.038484057017279166,3.848,CHI,bb936cb3-f25e-42c2-9847-44e048782e9f
11,Mike Sweetney,2116920.0,2005,0.037030759082281185,3.703,CHI,bc4af818-94b6-429e-8ef3-d3fe98cb6fcf
12,Malik Allen,1670000.0,2005,0.02921289782675282,2.921,CHI,a8ad0e4a-5a94-48b1-82b0-40ec046cdba3
13,Jannero Pargo,895248.0,2005,0.01566035230754779,1.566,CHI,2aa7f6c1-16f9-4c88-98c0-99d4496a89fd
14,Jermaine Jackson,771123.0,2005,0.01348906431787971,1.349,CHI,3f2a15d6-f1a2-4455-963a-4b3214a308d7
15,Eddie Basden,398762.0,2005,0.0069754452474201254,0.698,CHI,a476accc-c06d-44b8-8340-9eb1b4436e11
16,Randy Holcomb,52033.0,2005,0.0009102004267182213,0.091,CHI,35bf1924-cd89-4e94-873f-1613f0e91e6a
0,Baron Davis,13700000.0,2005,0.2398687578226542,57.537,GS,955a38f5-292b-4d1d-8e02-792168f51005
1,Jason Richardson,8888888.0,2005,0.15563259291859102,24.222,GS,8c6dde95-ce6e-46b9-8872-02b07d1e3a05
2,Troy Murphy,7365079.0,2005,0.12895272635005228,16.629,GS,e315ffcb-8bb5-4c44-965c-717a0a27c7e1
3,Adonal Foyle,7312500.0,2005,0.12803213807139846,16.392,GS,621ac6fb-c771-40e6-9d91-52d4d5b0b056
4,Derek Fisher,5393300.0,2005,0.09442950157408182,8.917,GS,0d24dfe8-08e2-4a1f-be59-b6ac6db12af4
5,Mike Dunleavy,4506261.0,2005,0.0788986298171293,6.225,GS,b11f83f8-692f-4af3-b60f-b9e31171adfa
6,Ike Diogu,1988160.0,2005,0.03481003427391884,3.481,GS,f84ac264-07ca-4e36-9852-64696db7363c
7,Mickael Pietrus,1910520.0,2005,0.03345066125513411,3.345,GS,5b10a2b3-4233-47f4-a455-6370ce474336
8,Andris Biedrins,1857360.0,2005,0.0325199004401084,3.252,GS,351691ed-de81-454a-9909-00ebd652b91a
9,Calbert Cheaney,1760000.0,2005,0.030815256479406673,3.082,GS,da0b14cf-bb18-4543-a903-6c286b68a5ca
10,Zarko Cabarkapa,1404360.0,2005,0.02458847363035202,2.459,GS,c73d5b4a-a9f9-4446-8391-9c49f2259c84
11,Monta Ellis,448762.0,2005,0.00785722507284744,0.786,GS,faa665e8-2fa5-4bbb-8247-8ef7bbd8c177
12,Chris Taft,423762.0,2005,0.007419508361492233,0.742,GS,5265ad23-6099-4c76-93c6-56bbdbfce1f1
13,Aaron Miles,155614.0,2005,0.002724593932833176,0.272,GS,4fb6c7dc-a396-4876-8638-285299c36976
0,Paul Pierce,13843156.0,2005,0.24325800029170247,59.174,BOS,d14d1240-57b5-4cfb-b38e-3993d37eb1d3
1,Raef LaFrentz,10623288.0,2005,0.18667706954995228,34.848,BOS,ca841f45-5fc9-4d1d-92fe-c24834bb02bf
2,Ricky Davis,5909800.0,2005,0.10384959398882042,10.785,BOS,994985b8-08b9-4015-950d-cb521794ab7b
3,Mark Blount,5515875.0,2005,0.09692737135657464,9.395,BOS,7ff7f429-4494-4958-82d3-ea70c4e9e514
4,Vin Baker,5333333.0,2005,0.09371966338237801,8.783,BOS,4df714c7-9b02-4dcb-b84c-f42fd5d67824
5,Brian Scalabrine,2586207.0,2005,0.045445962117338194,4.545,BOS,c3ed71a9-b403-49fb-803c-c93a512f4d5f
6,Dan Dickau,2250000.0,2005,0.03953798546056481,3.954,BOS,ee21989d-9cd1-415b-b6a6-a3d0f44f6842
7,Curtis Borchardt,1969993.0,2005,0.03461757981840643,3.462,BOS,b1d238b9-e96b-464b-a823-998e84f26543
8,Marcus Banks,1724280.0,2005,0.030299803364418978,3.03,BOS,0114ea14-ec78-4f33-bbb2-7e82419c735d
9,Al Jefferson,1512840.0,2005,0.02658428707740483,2.658,BOS,1d68c26e-b492-433f-aeee-6c34f9f786de
10,Gerald Green,1253040.0,2005,0.022018967689558282,2.202,BOS,01d2d1be-a8bf-4adb-8d64-ef490251a851
11,Delonte West,1010040.0,2005,0.01774886525981728,1.775,BOS,c13062bc-0cb3-4cee-8b6f-964d9ba20e6a
12,Tony Allen,969696.0,2005,0.01703992282185238,1.704,BOS,f0256318-7460-4b78-9d75-c3673bdef775
13,Kendrick Perkins,936480.0,2005,0.01645623672182655,1.646,BOS,a6818d96-2834-49bc-bb88-abbca927344e
14,Justin Reed,641748.0,2005,0.011277076930376244,1.128,BOS,30f1afac-0dab-4b4b-82b0-5edff1cc172d
15,Ryan Gomes,428762.0,2005,0.007534393654241195,0.753,BOS,8c037515-a91a-451c-ab3c-0b1d26e9966b
16,Orien Greene,398762.0,2005,0.007007220514766998,0.701,BOS,b2a9781e-b4e6-423c-809e-29e6cac8eb07
0,Kenyon Martin,10636364.0,2005,0.18828031607635834,35.449,DEN,d942225a-2af7-4ddd-ab29-5080cf48f46c
1,Marcus Camby,9150000.0,2005,0.16196934329237686,26.234,DEN,bf87ad28-9f95-4a3a-97d0-7e7c60d93403
2,Andre Miller,8100000.0,2005,0.14338269734079262,20.559,DEN,c572c106-7e60-4ff3-a115-1f32869d30c9
3,Earl Watson,5000000.0,2005,0.08850783786468681,7.834,DEN,679ea26b-23e6-4fa3-b074-d077963150a5
4,Eduardo Najera,4190476.0,2005,0.07417799407677227,5.502,DEN,ee04d3d7-724c-4dc6-b058-c26d24a502cb
5,Carmelo Anthony,3713640.0,2005,0.0657372494015631,4.321,DEN,3807a8ee-fb89-4e24-a723-1b0b709a7a01
6,Voshon Lenard,3520000.0,2005,0.062309517856739514,3.882,DEN,fc45127e-6e3d-4084-ac90-8dc32e43ddf3
7,Nenê,3039889.0,2005,0.053810800547728986,2.896,DEN,71b3fc68-5b92-4644-af01-caa989d432ad
8,Earl Boykins,2750000.0,2005,0.04867931082557775,4.868,DEN,be938ea5-6e99-4436-a2b7-dbe5943ad4c4
9,Greg Buckner,1670000.0,2005,0.029561617846805395,2.956,DEN,a540cbd2-8b37-4f41-b74f-5804d0844820
10,Julius Hodge,1148760.0,2005,0.020334852765087525,2.033,DEN,0e548b6f-c381-4239-a188-411700d3df34
11,Bryon Russell,1138500.0,2005,0.020153234681789187,2.015,DEN,0ad414db-5aee-434f-ac92-8663d5f1db05
12,Linas Kleiza,879360.0,2005,0.015566050460938199,1.557,DEN,38ed8d40-a4d2-4838-a697-7ed3d6b7a8b1
13,DerMarr Johnson,835810.0,2005,0.014795147193136777,1.48,DEN,d0ccdb62-a990-4743-ae8a-3b85f17befd0
14,Francisco Elson,719373.0,2005,0.012734029769646668,1.273,DEN,906c6986-ec24-4d8d-aabc-5c6bdc94cf05
0,Antawn Jamison,13843156.0,2005,0.25374238302563057,64.385,WSH,53a3b184-a4cf-42d0-9303-fca720ecd662
1,Gilbert Arenas,10243200.0,2005,0.1877558829654263,35.252,WSH,a96219af-32f3-4970-a605-f51f2c30d8db
2,Etan Thomas,5393300.0,2005,0.09885815014814059,9.773,WSH,59e4ff99-7895-4177-a778-2b549e66e07c
3,Antonio Daniels,5000000.0,2005,0.09164903690517918,8.4,WSH,beb18716-5096-42bb-a9a4-41cedc389265
4,Chucky Atkins,4500000.0,2005,0.08248413321466128,6.804,WSH,e4ecbbd1-a1c7-4d54-934a-1f4d81fe2366
5,Brendan Haywood,4000000.0,2005,0.07331922952414335,5.376,WSH,57d8912e-77d6-45b6-b0c2-d5f269c57e20
6,Caron Butler,2461617.0,2005,0.045120965455883295,4.512,WSH,1de786dd-1fcd-4ab9-b048-4cf8e3288a40
7,Jared Jeffries,2433824.0,2005,0.04461152511934217,4.461,WSH,28a6bcdf-147e-40e7-a5ba-751716b257e9
8,Jarvis Hayes,2011080.0,2005,0.03686270902785355,3.686,WSH,2c59c1af-5059-49e6-a5fe-5cdc005d1e21
9,Michael Ruffin,1670000.0,2005,0.03061077832632985,3.061,WSH,e4bfe1b9-54ca-4ea3-b054-ea4880c718c9
10,Calvin Booth,900498.0,2005,0.016505954887008012,1.651,WSH,b16875f0-ebdc-4b94-8498-12920242d81c
11,Peter John Ramos,660000.0,2005,0.012097672871483653,1.21,WSH,7f851ffe-1d82-40b2-93d2-d9a64ae66d28
12,Awvee Storey,641748.0,2005,0.011763117227164986,1.176,WSH,60837130-3966-4673-b42c-3070614ccdf6
13,Andray Blatche,398762.0,2005,0.007309230650876613,0.731,WSH,e8d3a2e5-c7fe-43ab-bfda-f156e04cf33e
14,Donell Taylor,398762.0,2005,0.007309230650876613,0.731,WSH,de416780-260f-405c-9e79-197c6672315d
0,Shawn Marion,13700000.0,2005,0.2554686895709327,65.264,PHO,5d4d73e4-5fe8-43d3-8869-8997e243d262
1,Steve Nash,9625000.0,2005,0.179480739935783,32.213,PHO,e22dbb44-a0dc-4d1b-8d5f-5311077027f4
2,Kurt Thomas,6620062.0,2005,0.1234466105122867,15.239,PHO,e3d29ce1-4276-467d-aeba-7dfca2fd5c62
3,Howard Eisley,5635417.0,2005,0.10508559096173407,11.043,PHO,970f8a7a-f05e-4ff4-9770-62f80f4b5985
4,Raja Bell,4250000.0,2005,0.07925123581580029,6.281,PHO,988238f2-7352-4848-a34a-9f4738dd1491
5,Jim Jackson,2640000.0,2005,0.049229002953814764,4.923,PHO,7c1abd98-3647-42b6-91d7-a66f53c1221e
6,Amare Stoudemire,2589023.0,2005,0.048278417013066045,4.828,PHO,7b22af5c-e512-4e92-b842-66cda73f0254
7,James Jones,2400000.0,2005,0.04475363904892252,4.475,PHO,3b0ea522-69aa-45d6-8bf2-47e0ca04e8f5
8,Brian Grant,1670000.0,2005,0.031141073838208584,3.114,PHO,4355f0fd-c604-45ad-8324-32133c99a9b4
9,Boris Diaw,1174200.0,2005,0.02189571790468534,2.19,PHO,423f269d-72f8-468b-935f-af9febe4fe03
10,Leandro Barbosa,930600.0,2005,0.017353223541219705,1.735,PHO,57a483dc-c6a0-4a8f-af70-12d6e639ff7b
