,player,salary,year,perc,perc_score,team,uuid
97,Leandro Barbosa,6100000.0,2008,0.08012567067813428,6.42,PHO,d5e4a8c9-8695-429f-84c0-c83d674b4c39
98,Grant Hill,1976400.0,2008,0.02596071729971551,2.596,PHO,a8ac1bce-5cbd-4e0b-b0f5-1c1d821ddb8d
99,Goran Dragic,1700000.0,2008,0.022330104943086605,2.233,PHO,dc0edf7c-2ffc-499d-887c-f5177f69cad7
100,Robin Lopez,1623720.0,2008,0.02132813999893446,2.133,PHO,786e0a8c-81bc-4ac8-aff3-9bf4ba92e3c0
101,Jared Dudley,1222320.0,2008,0.016055608161196246,1.606,PHO,f28ab262-881f-4675-8200-d5e15f93195e
102,Alando Tucker,1001880.0,2008,0.013160050317870358,1.316,PHO,0cc4f0be-05f5-4a40-9e81-4edd90b89b10
103,Matt Barnes,926678.0,2008,0.012172245287323299,1.217,PHO,7a9a28d7-3b17-419a-89f7-bb1c605c0337
104,Juaquin Hawkins,797581.0,2008,0.01047651025330115,1.048,PHO,6a00a5bb-0c91-4e3e-85c4-830f9c0b3bf5
105,Courtney Sims,184648.0,2008,0.0024254171867829737,0.243,PHO,3fe0af13-3a06-4e25-8706-63c9c326b255
106,Dee Brown,54410.0,2008,0.0007146947117372602,0.071,PHO,f3409c41-8f7a-451e-8e19-5db262e1f39e
107,Dee Brown,184157.0,2008,0.0026031716889950186,0.26,WSH,f3409c41-8f7a-451e-8e19-5db262e1f39e
108,Shawn Marion,17810000.0,2008,0.2424878793502305,58.8,TOR,980bde42-31de-40aa-87d9-61cdfe340132
109,Chris Bosh,14410581.0,2008,0.19620388696769928,38.496,TOR,ce7ae779-d64a-4736-86b2-4184fd5871fb
110,Jose Calderon,7438018.0,2008,0.10127059019589235,10.256,TOR,136a7b48-24ee-423a-957f-3fcabe686994
111,Jason Kapono,5784480.0,2008,0.07875723123772159,6.203,TOR,9676a674-d0ff-4ddd-b9be-ee46c1d069b3
112,Andrea Bargnani,5176440.0,2008,0.07047860517595211,4.967,TOR,7e4026de-4aa5-4497-9b9d-634a3a739dbc
113,Anthony Parker,4550000.0,2008,0.06194945822816108,3.838,TOR,08ab7c57-50b6-48f2-97a4-9432fd6f22f1
114,Jorge Garbajosa,4350000.0,2008,0.05922640511923092,3.508,TOR,9a65fe51-2884-4a7d-b11b-2c81d7391385
115,Marcus Banks,4260000.0,2008,0.05800103122021235,3.364,TOR,32c4ea5d-d2cb-41b0-9b43-28497e1fab0c
116,Kris Humphries,3200000.0,2008,0.04356884974288252,4.357,TOR,dbea34b4-07f7-40b0-85f6-c638a4f07df6
117,Joey Graham,2449184.0,2008,0.033346290527709994,3.335,TOR,0baf772d-d705-4853-9dfb-7da9d4ba7876
118,Patrick O'Bryant,1500000.0,2008,0.02042289831697618,2.042,TOR,29bc1b66-47f8-4f4c-8cd0-a68831ef2912
119,Roko Ukic,1250000.0,2008,0.017019081930813484,1.702,TOR,beb8cab9-89a5-4218-a21b-78b60154284d
120,Jake Voskuhl,826153.0,2008,0.011248292475509881,1.125,TOR,a2ae76d7-410b-41dc-b4e7-887da9c4d616
121,Nathan Jawai,442114.0,2008,0.006019499511007738,0.602,TOR,9f7593ca-f07b-4026-bd6f-9031406d08c6
122,Tracy McGrady,20370437.0,2008,0.27789639317046,77.226,HOU,50fe8196-017f-4587-90e5-12e32a204930
123,Yao Ming,15070550.0,2008,0.20559458238893333,42.269,HOU,3c78ce92-1413-4da4-8dc9-24464fa4ad19
124,Metta World Peace,7400000.0,2008,0.10095185044196174,10.191,HOU,670a19ff-960f-4b66-89c5-c438ef9dcd19
125,Shane Battier,6448900.0,2008,0.08797680923177933,7.74,HOU,83a7cc52-cfa4-47f6-bbe9-a6e89697b779
126,Brian Cook,3500000.0,2008,0.047747496830657585,4.775,HOU,e6a5c010-7607-44bf-81f9-3c5b80e9a264
127,Luis Scola,3100667.0,2008,0.04229973935869273,4.23,HOU,561978b9-e527-4f7a-9595-58a48b69e5c7
128,Carl Landry,3000000.0,2008,0.04092642585484935,4.093,HOU,a0775fb8-6ab9-492c-8641-6fac0dab6953
129,Jackie Butler,2552000.0,2008,0.034814746260525185,3.481,HOU,e1280267-02d6-4f6c-bbf2-f4bfcef562b0
130,Luther Head,1962378.0,2008,0.02677103923872919,2.677,HOU,57a7c3fd-d7ef-4273-9140-ad8c95dd0b6a
131,Brent Barry,1910000.0,2008,0.026056491127587424,2.606,HOU,b6e16b6a-99e8-47d8-a974-c877ee4e79fb
132,Chuck Hayes,1768000.0,2008,0.024119306970457888,2.412,HOU,badd0170-6da9-40ab-b90d-30b8c1401f73
133,Justin Reed,1573000.0,2008,0.02145908928989268,2.146,HOU,f810aa4c-0efd-4d94-b6fc-5fc4ae9b2da3
134,Kyle Lowry,1163520.0,2008,0.015872905003544775,1.587,HOU,09855ef9-5497-4128-8dc1-db0500f2491e
135,Aaron Brooks,1045560.0,2008,0.014263677938932098,1.426,HOU,057c226a-33e5-4e89-aa24-6ea9fca8e8df
