,player,uuid
281,Stacey King,5b84f04e-38ff-420b-a878-402646fde840
282,Dennis Hopson,566e0dd2-a316-465c-8ba6-baf94f75aa3d
283,Scottie Pippen,94d2cbb1-a959-4ab1-b9fb-40e934ee5ce3
284,Cliff Levingston,bd39a247-0020-411a-ba0c-7ff9eee98d43
285,Craig Hodges,9736352a-7db2-4ecd-93e9-96ce15cda98d
286,Will Perdue,fa1ad0af-f9c3-4612-89ca-30d319071a97
287,BJ Armstrong,c798ae24-e3bc-4a05-a2a8-ba80a2c4f50f
288,John Paxson,b6d20633-3526-44be-9b9f-f639a85ab94a
289,Scott Williams,3e79b5ca-eea7-4699-ac24-6ed33798fff5
290,Pervis Ellison,beb4ab73-9da9-4e40-900e-ec9b2bccc4fe
291,Bernard King,eed85977-b3c0-4ba5-acae-9f65fa7f2b0d
292,John Williams,98dd764c-e55e-4c46-b317-5fc18fa21001
293,Tom Hammonds,73194f9b-0223-4aa1-9dbf-aa271de69fa2
294,Charles Jones,1df0b8a3-df0a-447d-a4e6-3562c1e48e52
295,Darrell Walker,0dd40cf7-3e6c-46ff-af56-11dc5a7554f3
296,Ledell Eackles,8af17132-e726-4bfa-a112-33f900a69e41
297,Mark Alarie,c3b528b9-4a2b-4cd8-ab18-ca279e72fc61
298,Harvey Grant,b1541b02-0faa-4590-a956-14639b4bb35b
299,Byron Irvin,484d0fc2-e05d-4e8b-96e8-bef3fef228c4
300,A.J. English,2d3affde-1298-42d0-a296-21df41b6c953
301,Greg Foster,4aefed22-7753-4c9e-82a7-29c16f1d18e7
302,Haywoode Workman,8efd8736-c0c5-45ea-b251-e9e882407d68
303,Wayman Tisdale,09d0428e-719c-4299-8a9a-97456afeb06d
304,Ralph Sampson,f3821d00-3456-4e7f-b646-05d38ea0b0d7
305,Lionel Simmons,eaee7816-531d-4066-b5ea-1a96312ec65b
306,Travis Mays,a2a3c026-b28b-4f3a-aab9-1946d2bb30cb
307,Bill Wennington,adbb4e56-3411-461d-92b0-f14f8d48e0e5
308,Duane Causwell,1cc08ed4-3d76-4378-8b20-6f4ca12f5cc1
309,Antoine Carr,bef418b3-f88a-4c46-ba60-0fa32a75f6f7
310,Bob Hansen,97d9b7c3-f2eb-4322-b672-f1cd33b6575c
311,Rory Sparrow,b3b9a078-9fd5-4a28-9c76-8b6ab6ecfd8b
312,Steve Colter,d71b1746-18c8-41d0-9600-5e917c1de305
313,Rick Calloway,d69db267-1464-4559-8117-b98782aaeb78
314,Anthony Frederick,3f58595d-17e7-4ce0-969e-775a647552e2
315,Jim Les,79c056c3-047e-4442-8930-2f3b281338ae
316,Willie Burton,d812d4dd-3c39-4c59-a979-0d7ce7449bd1
317,Alec Kessler,54542709-d9b8-4df5-ae8e-d04ef4bfb6bb
318,Glen Rice,fab5958e-5a64-48fb-b2ae-3e29575fd790
319,Rony Seikaly,f7e2baae-8cee-4086-8f4d-6d94a68f6207
320,Kevin Edwards,ffce6d7b-7508-4ad0-a470-5d55008cd3f7
321,Billy Thompson,ca6d9efa-c7ea-4bc1-a2db-bc620be3dd02
322,Jon Sundvold,48e78c6b-465d-4ded-aedc-72820d0ddbeb
323,Sherman Douglas,218d1375-5118-43ab-97fa-7c1d1883ed3d
324,Grant Long,cb1f862c-806d-4a95-ad35-8b1182a4a195
